Code,Company Name
COCO,Wahana Interfood Nusantara 
MTPS,Meta Epsi 
CPRI,Capri Nusa Satu Properti 
HRME,Menteng Heritage Realty 
POSA,Bliss Properti Indonesia 
JAST,Jasnita Telekomindo 
FITT,Hotel Fitra International 
BOLA,Bali Bintang Sejahtera 
CCSI,Communication Cable Systems In
SFAN,Surya Fajar Capital 
POLU,Golden Flower 
KJEN,Krida Jaringan Nusantara 
KAYU,Darmi Bersaudara 
ITIC,Indonesian Tobacco 
PAMG,Bima Sakti Pertiwi 
IPTV,MNC Vision Networks 
BLUE,Berkah Prima Perkasa 
ENVY,Envy Technologies Indonesia
EAST,Eastparc Hotel 
LIFE,MSIG Life Insurance Indonesia 
FUJI,Fuji Finance Indonesia 
KOTA,DMS Propertindo 
INOV,Inocycle Technology Group 
ARKA,Arkha Jayanti Persada 
SMKL,Satyamitra Kemas Lestari 
HDIT,Hensel Davest Indonesia 
KEEN,Kencana Energi Lestari 
BAPI,Bhakti Agung Propertindo 
TFAS,Telefast Indonesia 
GGRP,Gunung Raja Paksi 
OPMS,Optima Prima Metal Sinergi 
NZIA,Nusantara Almazia 
SLIS,Gaya Abadi Sempurna 
PURE,Trinitan Metals and Minerals T
IRRA,Itama Ranoraya 
DMMX,Digital Mediatama Maxima 
SINI,Singaraja Putra 
WOWS,Ginting Jaya Energi 
ESIP,Sinergi Inti Plastindo 
TEBE,Dana Brata Luhur 
KEJU,Mulia Boga Raya 
PSGO,Palma Serasih 
AGAR,Asia Sejahtera Mina 
IFSH,Ifishdeco 
REAL,Repower Asia Indonesia 
IFII,Indonesia Fibreboard Industry 
PMJS,Putra Mandiri Jembar 
UCID,Uni-Charm Indonesia 
GLVA,Galva Technologies 
PGJO,Tourindo Guide Indonesia 
AMAR,Bank Amar Indonesia 
CSRA,Cisadane Sawit Raya 
INDO,Royalindo Investa Wijaya 
AMOR,Ashmore Asset Management Indon
TRIN,Perintis Triniti Properti 
DMND,Diamond Food Indonesia 
PURA,Putra Rajawali Kencana 
PTPW,Pratama Widya 
TAMA,Lancartama Sejati 
IKAN,Era Mandiri Cemerlang 
AYLS,Agro Yasa Lestari 
DADA,Diamond Citra Propertindo 
ASPI,Andalan Sakti Primaindo 
ESTA,Esta Multi Usaha 
BESS,Batulicin Nusantara Maritim
CSMI,Cipta Selera Murni 
BBSS,Bumi Benowo Sukses Sejahtera T
BHAT,Bhakti Multi Artha 
CASH,Cashlez Worldwide Indonesia
TECH,Indosterling Technomedia 
EPAC,Megalestari Epack Sentosaraya 
UANG,Pakuan 
PGUN,Pradiksi Gunatama 
SOFA,Boston Furniture Industries
PPGL,Prima Globalindo Logistik 
TOYS,Sunindo Adipersada 
SGER,Sumber Global Energy 
TRJA,Transkon Jaya 
PNGO,Pinago Utama 
SCNP,Selaras Citra Nusantara Perkas
BBSI,Krom Bank Indonesia 
KMDS,Kurniamitra Duta Sentosa 
PURI,Puri Global Sukses 
SOHO,Soho Global Health 
HOMI,Grand House Mulia 
ROCK,Rockfields Properti Indonesia 
ENZO,Morenzo Abadi Perkasa 
PLAN,Planet Properindo Jaya 
PTDU,Djasa Ubersakti 
ATAP,Trimitra Prawara Goldland 
VICI,Victoria Care Indonesia 
PMMP,Panca Mitra Multiperdana 
WIFI,Solusi Sinergi Digital 
FAPA,FAP Agri 
DCII,DCI Indonesia 
KETR,Ketrosden Triasmitra 
DGNS,Diagnos Laboratorium Utama 
UFOE,Damai Sejahtera Abadi 
BANK,Bank Aladin Syariah 
WMUU,Widodo Makmur Unggas 
EDGE,Indointernet 
UNIQ,Ulima Nitra 
BEBS,Berkah Beton Sadaya 
SNLK,Sunter Lakeside Hotel 
ZYRX,Zyrexindo Mandiri Buana 
LFLO,Imago Mulia Persada 
FIMP,Fimperkasa Utama 
TAPG,Triputra Agro Persada 
NPGF,Nusa Palapa Gemilang 
LUCY,Lima Dua Lima Tiga 
ADCP,Adhi Commuter Properti 
HOPE,Harapan Duta Pertiwi 
MGLV,Panca Anugrah Wisesa 
TRUE,Triniti Dinamik 
LABA,Green Power Group 
ARCI,Archi Indonesia 
IPAC,Era Graharealty 
MASB,Bank Multiarta Sentosa 
BMHS,Bundamedik 
FLMC,Falmaco Nonwoven Industri 
NICL,PAM Mineral 
UVCR,Trimegah Karya Pratama 
BUKA,Bukalapak.com 
HAIS,Hasnur Internasional Shipping 
OILS,Indo Oil Perkasa 
GPSO,Geoprima Solusi 
MCOL,Prima Andalan Mandiri 
RSGK,Kedoya Adyaraya 
RUNS,Global Sukses Solusi 
SBMA,Surya Biru Murni Acetylene 
CMNT,Cemindo Gemilang 
GTSI,GTS Internasional 
IDEA,Idea Indonesia Akademi 
KUAS,Ace Oldfields 
BOBA,Formosa Ingredient Factory 
MTEL,Dayamitra Telekomunikasi 
DEPO,Caturkarda Depo Bangunan 
BINO,Perma Plasindo 
CMRY,Cisarua Mountain Dairy 
WGSH,Wira Global Solusi 
TAYS,Jaya Swarasa Agung 
WMPP,Widodo Makmur Perkasa 
RMKE,RMK Energy 
OBMD,OBM Drilchem 
AVIA,Avia Avian 
IPPE,Indo Pureco Pratama 
NASI,Wahana Inti Makmur 
BSML,Bintang Samudera Mandiri Lines
DRMA,Dharma Polimetal 
ADMR,Adaro Minerals Indonesia 
SEMA,Semacom Integrated 
ASLC,Autopedia Sukses Lestari 
NETV,MDTV Media Technologies 
BAUT,Mitra Angkasa Sejahtera 
ENAK,Champ Resto Indonesia 
N,Nusatama Berkah 
SMKM,Sumber Mas Konstruksi 
STAA,Sumber Tani Agung Resources
NANO,Nanotech Indonesia Global 
BIKE,Sepeda Bersama Indonesia 
WIRG,WIR ASIA 
SICO,Sigma Energy Compressindo 
GOTO,GoTo Gojek Tokopedia 
TLDN,Teladan Prima Agro 
MTMH,Murni Sadar 
WINR,Winner Nusantara Jaya 
IBOS,Indo Boga Sukses 
OLIV,Oscar Mitra Sukses Sejahtera T
ASHA,Cilacap Samudera Fishing Indus
SWID,Saraswanti Indoland Developmen
TRGU,Cerestar Indonesia 
ARKO,Arkora Hydro 
CHEM,Chemstar Indonesia 
DEWI,Dewi Shri Farmindo 
AXIO,Tera Data Indonusa 
KRYA,Bangun Karya Perkasa Jaya 
HATM,Habco Trans Maritima 
RCCC,Utama Radar Cahaya 
GULA,Aman Agrindo 
JARR,Jhonlin Agro Raya 
AMMS,Agung Menjangan Mas 
BUAH,Segar Kumala Indonesia 
CRAB,Toba Surimi Industries 
MEDS,Hetzer Medical Indonesia 
COAL,Black Diamond Resources 
